,locationName,categories,locationAddress,locationCity,locationState,locationZip,locationPhone,openTime,Years In Business
0,Firestone Complete Auto Care,"['Auto Repair & Service', 'Brake Repair', 'Tire Dealers']",972 Commonwealth Ave,Boston,MA,02215,(617) 341-9811,,94
1,Executive Auto Body,"['Auto Repair & Service', 'Automobile Body Repairing & Painting']",30 Medford St,Somerville,MA,02143,(617) 576-1855,7:30 am - 5:30 pm,21
2,Fran's Auto Repair,"['Auto Repair & Service', 'Brake Service Equipment', 'Tire Recap, Retread & Repair']",43 Preble St,South Boston,MA,02127,(617) 268-1283,7:00 am - 4:00 pm,27
3,AAMCO Transmissions & Total Car Care,"['Auto Repair & Service', 'Auto Oil & Lube', 'Auto Transmission']",125 Cambridge St,Charlestown,MA,02129,(617) 580-0628,7:30 am - 5:30 pm,57
4,Safelite AutoGlass,"['Auto Repair & Service', 'Glass-Auto, Plate, Window, Etc', 'Windshield Repair']",47 Webster Ave,Cambridge,MA,02141,(800) 997-0912,8:00 am - 5:00 pm,73
5,Top Gear Motor Group Corp,"['Auto Repair & Service', 'Financial Services', 'Wholesale Used Car Dealers']",24 Joy Street,Somerville,MA,02143,(617) 224-6381,9:30 am - 7:00 pm,
6,Greg's Auto Repair,['Auto Repair & Service'],51 Park St,Chelsea,MA,02150,(617) 889-4799,5:00 am - 9:00 pm,44
7,1st Class Auto Body,"['Auto Repair & Service', 'Dent Removal', 'Automobile Body Repairing & Painting']",86 Condor Street,East Boston,MA,02128,(617) 567-9043,8:00 am - 5:00 pm,36
8,George's Auto Body,"['Auto Repair & Service', 'Automobile Body Repairing & Painting', 'Brake Repair']",315 Border St,East Boston,MA,02128,(617) 567-9625,8:00 am - 6:00 pm,35
9,Continental Auto Body,"['Auto Repair & Service', 'Automobile Body Repairing & Painting']",157 Liverpool St,East Boston,MA,02128,(617) 567-9188,9:00 am - 5:00 pm,17
10,A To Z Auto Repair Inc,"['Auto Repair & Service', 'Automobile Repairing & Service-Equipment & Supplies']",24 Shetland St,Roxbury,MA,02119,(617) 427-8988,,49
11,Wheel Repair Boston Pros,['Auto Repair & Service'],3 Walnut St,Boston,MA,02108,(781) 923-0743,,9
12,Braz Motor Auto Repair & Sales Inc,['Auto Repair & Service'],306 Bremen St,East Boston,MA,02128,(617) 569-8860,9:00 am - 5:00 pm,27
13,Frank's Auto Repair,"['Auto Repair & Service', 'New Car Dealers', 'Used Car Dealers']",11 Marginal St,Chelsea,MA,02150,(617) 884-8914,7:00 am - 4:00 pm,36
14,World Automobile Repair Incorporated,"['Auto Repair & Service', 'New Car Dealers']",286 Broadway,Cambridge,MA,02139,(617) 441-7737,,
15,ABJ Auto Repair,['Auto Repair & Service'],45 Mystic Ave,Somerville,MA,02145,(617) 625-6632,8:00 am - 6:00 pm,
16,Chambers Motorcars of Boston,"['Automobile Body Repairing & Painting', 'New Car Dealers', 'Used Car Dealers']",259 Mcgrath Hwy,Somerville,MA,02143,(617) 666-4100,8:30 am - 9:00 pm,
17,S & F Autobody,"['Auto Repair & Service', 'Automobile Body Repairing & Painting']",503 E 2nd St,South Boston,MA,02127,(617) 268-1185,7:30 am - 5:30 pm,14
18,Andrew Square Auto Glass,"['Auto Repair & Service', 'Windshield Repair', 'Automobile Parts & Supplies']",603 Dorchester Ave,South Boston,MA,02127,(617) 269-4698,8:00 am - 5:00 pm,34
19,Broadway Gas,"['Auto Repair & Service', 'Gas Stations', 'Automobile Inspection Stations & Services']",320 Cambridge St,Cambridge,MA,02141,(617) 354-0092,6:00 am - 10:00 pm,
20,DMI Auto & Alarm,"['Auto Repair & Service', 'Computer Security-Systems & Services', 'Automobile Accessories']",,boston,MA,02124,(617) 825-1188,8:30 am - 5:30 pm,30
21,Elite Auto Service,['Auto Repair & Service'],68 Joy St,Somerville,MA,02143,(617) 628-2886,9:00 am - 5:00 pm,6
22,Middlesex Truck & Coach,"['Auto Repair & Service', 'Automobile Body Repairing & Painting', 'Truck Service & Repair']",65 Gerard St,Roxbury,MA,02119,(617) 442-3000,7:00 am - 5:00 pm,33
23,Tudor Garage Taxi Repair,['Auto Repair & Service'],209 Tudor St,South Boston,MA,02127,(617) 269-9550,7:00 am - 3:00 pm,64
24,Good News Garage,['Auto Repair & Service'],75 Hamilton St,Cambridge,MA,02139,(617) 354-5383,7:30 am - 5:30 pm,39
25,A&A Sons Towing,"['Auto Repair & Service', 'Towing', 'Commercial Auto Body Repair']",7 nay st,Boston,MA,02128,(617) 586-9847,Open 24 Hours,10
26,Mike's Auto Repair,['Auto Repair & Service'],914 Huntington Ave,Boston,MA,02115,(617) 608-3349,8:00 am - 5:00 pm,24
27,Windshield Repair in Boston,"['Auto Repair & Service', 'Automobile Body Repairing & Painting', 'Automobile Detailing']",181 Devonshire St,Boston,MA,02110,(774) 295-5967,8:00 am - 6:00 pm,23
28,Vehicle Repair Boston,"['Auto Repair & Service', 'Automobile Body Repairing & Painting', 'Automobile Detailing']",75 Kneeland St,Boston,MA,02283,(781) 563-7024,8:00 am - 6:00 pm,25
29,Car Maintenance in Boston,"['Auto Repair & Service', 'Automobile Body Repairing & Painting', 'Automobile Detailing']",88 Sleeper St,Boston,MA,02110,(774) 300-3349,8:00 am - 6:00 pm,25
30,Auto Body Repair Boston,"['Auto Repair & Service', 'Wheel Alignment-Frame & Axle Servicing-Automotive', 'Automobile Electric Service']",1 Marina Park Dr,Boston,MA,02210,(781) 463-5526,8:00 am - 6:00 pm,30
31,Car Repair in Boston,"['Auto Repair & Service', 'Automobile Body Repairing & Painting', 'Automobile Detailing']",49 Melcher St,Boston,MA,02110,(774) 217-7358,8:00 am - 6:00 pm,33
32,Clutch Repair in Boston,"['Auto Repair & Service', 'Automobile Body Repairing & Painting', 'Automobile Detailing']",222 Berkeley St,Boston,MA,02116,(781) 384-5065,8:00 am - 6:00 am,17
33,Mechanics in Boston,"['Auto Repair & Service', 'Automobile Body Repairing & Painting', 'Automobile Detailing']",161 Berkeley St,Boston,MA,02116,(774) 209-5922,8:00 am - 6:00 pm,16
34,Car Window Replacement Boston,"['Auto Repair & Service', 'Automobile Body Repairing & Painting', 'Automobile Detailing']",15 1/2 Fish Pier St E,Boston,MA,02210,(857) 256-5884,,15
35,Auto Ac Repair Boston,"['Auto Repair & Service', 'Automobile Body Repairing & Painting', 'Automobile Detailing']",225 Northern Ave,Boston,MA,02110,(781) 472-1082,8:00 am - 6:00 pm,15
36,Brakes in Boston,"['Auto Repair & Service', 'Automobile Body Repairing & Painting', 'Automobile Detailing']",113 H St,Boston,MA,02127,(774) 214-2408,8:00 am - 6:00 am,26
37,Transmissions in Boston,"['Auto Repair & Service', 'Automobile Body Repairing & Painting', 'Automobile Detailing']",75 Northern Ave,Boston,MA,02110,(774) 229-3044,8:00 am - 6:00 pm,32
38,Auto Body Repair in Boston,"['Auto Repair & Service', 'Automobile Body Repairing & Painting', 'Automobile Detailing']",70 Windom St,Boston,MA,02134,(508) 433-7808,8:00 am - 6:00 am,25
39,Windshield Glass Repair in Cambridge,"['Auto Repair & Service', 'Automobile Body Repairing & Painting', 'Automobile Detailing']",300 Third St,Cambridge,MA,02142,(857) 226-1356,8:00 am - 6:00 pm,13
40,Auto Body Shops Cambridge,"['Auto Repair & Service', 'Automobile Body Repairing & Painting', 'Automobile Detailing']",500 Main St,Cambridge,MA,02142,(978) 403-4609,8:00 am - 5:00 pm,30
41,Auto Repair Mechanic in Cambridge,"['Auto Repair & Service', 'Automobile Body Repairing & Painting', 'Automobile Detailing']",520 Cambridge St,561 Cambridge St,MA,02141,(857) 256-5879,8:00 am - 6:00 pm,16
42,Auto Repair Mechanic in Boston,"['Auto Repair & Service', 'Automobile Detailing', 'Wheel Alignment-Frame & Axle Servicing-Automotive']",162 Salem St,Boston,MA,02113,(781) 217-3504,8:00 am - 6:00 pm,32
43,Auto Repair And Service Boston,"['Auto Repair & Service', 'Automobile Body Repairing & Painting', 'Automobile Detailing']",821 Washington St,Boston,MA,02111,(781) 563-5476,8:00 am - 6:00 pm,28
44,Car Window Tinting in Boston,"['Auto Repair & Service', 'Automobile Body Repairing & Painting', 'Automobile Detailing']",155 Seaport Blvd,Boston,MA,02210,(781) 355-9098,8:00 am - 6:00 pm,14
45,CSI Collision Inc.,"['Auto Repair & Service', 'Automobile Body Repairing & Painting']",404 Border St,East Boston,MA,02128,(978) 535-0939,8:00 am - 4:00 pm,17
46,JC Auto Body,['Automobile Body Repairing & Painting'],243 Condor St,East Boston,MA,02128,(617) 418-7216,8:00 am - 5:00 pm,
47,Emerson Auto Svc Corp,"['Auto Repair & Service', 'Financing Services', 'Automobile Machine Shop']",420 E 3rd St,South Boston,MA,02127,(617) 269-2107,8:00 am - 5:00 pm,34
48,Goodyear Auto Service Center,"['Auto Repair & Service', 'Tire Dealers']",1345 Boylston St,Boston,MA,02215,(617) 266-1162,,
49,Safelite AutoGlass,"['Auto Repair & Service', 'Windshield Repair', 'Glass-Auto, Plate, Window, Etc']",75 Webster Ave,Somerville,MA,02143,(617) 349-0033,8:00 am - 5:00 pm,
50,JN Phillips Auto Glass,"['Auto Repair & Service', 'Windshield Repair', 'Glass-Auto, Plate, Window, Etc']",47 Webster Ave,Somerville,MA,02143,(617) 349-0033,8:00 am - 5:00 pm,
51,E and R Motors Inc,"['Auto Repair & Service', 'Automobile Body Repairing & Painting']",328 Washington St,Boston,MA,02108,(617) 514-3549,,
52,Daley Designs,"['Auto Repair & Service', 'Automobile Repairing & Service-Equipment & Supplies', 'Automobile Body Shop Equipment & Supplies']",326 Commercial St,Boston,MA,02109,(857) 239-8356,,8
53,Diversified Automotive Inc,"['Auto Repair & Service', 'Automobile Body Repairing & Painting']",100 Terminal St,Charlestown,MA,02129,(800) 666-9007,8:00 am - 4:30 pm,32
54,E&S Automotive,"['Auto Repair & Service', 'Automobile Inspection Stations & Services', 'Automobile Body Repairing & Painting']",480 Dorchester Ave,South Boston,MA,02127,(617) 464-3520,8:00 am - 5:30 pm,37
55,Boston Auto Transmission,"['Auto Repair & Service', 'Automobile Body Repairing & Painting', 'Automobile Detailing']",82 Lansdowne St,Boston,MA,02215,(857) 776-0026,,
56,Flynn's Auto Salvage,"['Auto Repair & Service', 'Automobile Customizing', 'Automobile Body Repairing & Painting']",1 Mystic Ave,Charlestown,MA,02129,(617) 242-4585,,12
57,Tat On Auto Service Inc,"['Auto Repair & Service', 'Automobile Body Repairing & Painting', 'Mufflers & Exhaust Systems']",125 Brookline St,Cambridge,MA,02139,(617) 876-3218,9:00 am - 5:00 pm,20
58,Inman Motor Sales,"['Auto Repair & Service', 'Automobile Body Repairing & Painting', 'Used Car Dealers']",463 Mcgrath Hwy,Somerville,MA,02143,(617) 764-3802,9:00 am - 6:00 pm,
59,Brothers Autobody,"['Automobile Body Repairing & Painting', 'Used Car Dealers']",328 Washington St,Boston,MA,02108,(617) 825-0775,,
60,R & R Auto of Needham Inc,['Automobile Body Repairing & Painting'],745 Atlantic Ave,Boston,MA,02111,(617) 449-5444,7:00 am - 5:00 pm,
61,Jc auto body,['Automobile Body Repairing & Painting'],265 Maverick St,East Boston,MA,02128,(617) 418-7514,8:00 am - 5:00 pm,16
62,Elias Auto Body Inc,['Automobile Body Repairing & Painting'],157 Liverpool St,East Boston,MA,02128,(857) 256-2833,,
63,Brandy Autobody,['Automobile Body Repairing & Painting'],162 Liverpool St,East Boston,MA,02128,(617) 418-5685,8:00 am - 6:00 pm,10
64,South Bay Auto,['Automobile Body Repairing & Painting'],176 Massachusetts Ave,Boston,MA,02115,(617) 436-5300,,
65,Kuendas Autobody Repair,['Automobile Body Repairing & Painting'],16 Burrill Pl,South Boston,MA,02127,(617) 989-1290,9:00 am - 5:00 pm,
66,Alpine's Auto Body Works,['Automobile Body Repairing & Painting'],38 Norfolk Ave,Roxbury,MA,02119,(617) 652-8045,9:00 am - 8:00 pm,8
67,Rich Art Auto Body,['Automobile Body Repairing & Painting'],38 Norfolk Ave,Roxbury,MA,02119,(617) 652-8045,,8
68,Norfolk Autobody Works,['Automobile Body Repairing & Painting'],40 Norfolk Ave,Roxbury,MA,02119,(617) 445-1049,,
69,Pat's Enterprise,['Automobile Body Repairing & Painting'],86 Joy St,Somerville,MA,02143,(617) 628-7500,,
70,S'bai Body Works,['Automobile Body Repairing & Painting'],1034 Cambridge St,Cambridge,MA,02141,(617) 868-0827,11:00 am - 9:00 pm,5
71,Inman Collision Center,"['Automobile Body Repairing & Painting', 'Towing']",45 Webster Ave,Somerville,MA,02143,(617) 440-1070,8:00 am - 6:00 pm,16
72,Paint My Ride Auto Body inc.,['Automobile Body Repairing & Painting'],45 Webster Ave,Somerville,MA,02143,(617) 764-4124,8:00 am - 6:00 pm,6
73,Performance Plus,"['Auto Repair & Service', 'Auto Oil & Lube', 'Automotive Tune Up Service']",2 Faneuil Hall Market Pl Ste 405,Boston,MA,02109,(617) 973-4868,,18
74,Beverly Garage,['Auto Repair & Service'],101 Beverly St,Boston,MA,02114,(857) 317-3908,4:00 am - 6:00 pm,
75,Diversified Auto,['Auto Repair & Service'],33 Medford St,Boston,MA,02114,(617) 242-2872,,
76,Boston Speedy Autocare,['Auto Repair & Service'],9 Hawthorne Pl,Boston,MA,02114,(857) 990-1741,,
77,Foreign & Domestic Automotive,['Auto Repair & Service'],151 Tremont St,Boston,MA,02111,(857) 770-1961,,
78,Car Serv Elev 1,['Auto Repair & Service'],580 Washington St,Boston,MA,02111,(617) 482-1961,,
79,North End Garage,['Auto Repair & Service'],600 Commercial St,Boston,MA,02109,(617) 742-6759,Open 24 Hours,7
80,Autocare Center,['Auto Repair & Service'],100 Blossom St,Boston,MA,02114,(857) 990-1431,,
81,Car Care,"['Auto Repair & Service', 'Automobile Detailing']",4 Emerson Pl,Boston,MA,02114,(857) 239-9417,,
82,Arborway Auto Service Cntr,['Auto Repair & Service'],207 South St,Boston,MA,02111,(617) 524-4505,,
83,Motor Mart Garage,['Auto Repair & Service'],26 Park Plz,Boston,MA,02116,(617) 482-8380,Open 24 Hours,
84,Auto Repair & Service,['Auto Repair & Service'],44 Commonwealth Ave,Boston,MA,02116,(857) 317-5307,,
85,ITT United States Trans,"['Auto Repair & Service', 'Auto Transmission']",545 Boylston St,Boston,MA,02116,(617) 262-0335,,
86,Auto Repair & Service,['Auto Repair & Service'],140 Clarendon St,Boston,MA,02116,(857) 317-5308,,5
87,Auto Fix,['Auto Repair & Service'],114 Orleans St,East Boston,MA,02128,(617) 418-5642,,
